name,eval_task_name,model_name,data_dir,teacher_model,student_model,task_name,output_dir,cache_dir,max_seq_length,do_eval,do_lower_case,train_batch_size,eval_batch_size,learning_rate,weight_decay,num_train_epochs,warmup_proportion,no_cuda,gradient_accumulation_steps,aug_train,eval_step,pred_distill,data_url,temperature,training_time,accuracy,eval_time,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_Nhotels_sentence-run-1,multiemo_en_hotels_sentence,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_Nhotels_sentence-run-1,multiemo_en_Nhotels_sentence,data/models/TinyBERT_4L_312D/multiemo_en_Nhotels_sentence-run-1,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1341.504555,0.717102615694165,0.886504,0.6470588235294118,0.34494773519163763,0.45,287,0.7697247706422018,0.8121974830590513,0.7903909561940651,1033,0.7179161372299873,0.7803867403314917,0.7478491065519524,724,0.6131868131868132,0.6326530612244898,0.6227678571428572,441,0.6869716361471035,0.6425462549516676,0.6527519799722187,2485,0.7126833957328899,0.717102615694165,0.7089365134374579,2485,58395396,58367536,14591884
multiemo_en_Nhotels_sentence-run-2,multiemo_en_hotels_sentence,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_Nhotels_sentence-run-2,multiemo_en_Nhotels_sentence,data/models/TinyBERT_4L_312D/multiemo_en_Nhotels_sentence-run-2,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1322.939966,0.7158953722334004,0.977556,0.6510067114093959,0.33797909407665505,0.44495412844036697,287,0.7679057116953762,0.8199419167473379,0.7930711610486891,1033,0.7235984354628422,0.7665745856353591,0.7444668008048289,724,0.6008583690987125,0.6349206349206349,0.61742006615215,441,0.6858423069165818,0.6398540578449967,0.6499780391115088,2485,0.7118508387941449,0.7158953722334004,0.7075334234130686,2485,58395396,58367536,14591884
multiemo_en_Nhotels_sentence-run-3,multiemo_en_hotels_sentence,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_Nhotels_sentence-run-3,multiemo_en_Nhotels_sentence,data/models/TinyBERT_4L_312D/multiemo_en_Nhotels_sentence-run-3,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1293.584395,0.716297786720322,0.879148,0.6226415094339622,0.34494773519163763,0.4439461883408072,287,0.7682481751824818,0.8151016456921588,0.7909816815406294,1033,0.7401055408970977,0.7748618784530387,0.757085020242915,724,0.5889830508474576,0.6303854875283447,0.6089813800657173,441,0.6799945690902498,0.641324186716295,0.6502485675475171,2485,0.7114190805651021,0.716297786720322,0.7087271534608184,2485,58395396,58367536,14591884
multiemo_en_Nhotels_sentence-run-4,multiemo_en_hotels_sentence,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_Nhotels_sentence-run-4,multiemo_en_Nhotels_sentence,data/models/TinyBERT_4L_312D/multiemo_en_Nhotels_sentence-run-4,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1347.8408559999998,0.7126760563380282,1.018456,0.625,0.34843205574912894,0.447427293064877,287,0.7707182320441989,0.8102613746369797,0.7899952807928269,1033,0.7232947232947233,0.7762430939226519,0.748834110592938,724,0.5887445887445888,0.6167800453514739,0.602436323366556,441,0.6769393860208778,0.6379291424150586,0.6471732519542994,2485,0.7077781396391954,0.7126760563380282,0.7051537516469006,2485,58395396,58367536,14591884
multiemo_en_Nhotels_sentence-run-5,multiemo_en_hotels_sentence,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_Nhotels_sentence-run-5,multiemo_en_Nhotels_sentence,data/models/TinyBERT_4L_312D/multiemo_en_Nhotels_sentence-run-5,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1377.652639,0.7259557344064387,1.006705,0.6545454545454545,0.37630662020905925,0.4778761061946903,287,0.7694394213381555,0.8238141335914811,0.7956989247311826,1033,0.7447643979057592,0.7859116022099447,0.7647849462365591,724,0.6133333333333333,0.6258503401360545,0.6195286195286195,441,0.6955206517806756,0.6529706740366348,0.6644721491727629,2485,0.7212776224469335,0.7259557344064387,0.7187218728420837,2485,58395396,58367536,14591884
multiemo_en_Nmedicine_sentence-run-1,multiemo_en_medicine_sentence,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_Nmedicine_sentence-run-1,multiemo_en_Nmedicine_sentence,data/models/TinyBERT_4L_312D/multiemo_en_Nmedicine_sentence-run-1,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1458.386557,0.6463576158940397,0.856793,0.24166666666666667,0.1895424836601307,0.21245421245421245,153,0.5705939629990263,0.830028328611898,0.6762839007501442,706,0.6719056974459725,0.6602316602316602,0.6660175267770204,518,0.8325123152709359,0.5709459459459459,0.6773547094188377,888,0.5791696605956503,0.5626871046124087,0.5580275873500538,2265,0.6742306512648643,0.6463576158940397,0.6430242778231879,2265,58395396,58367536,14591884
multiemo_en_Nmedicine_sentence-run-2,multiemo_en_medicine_sentence,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_Nmedicine_sentence-run-2,multiemo_en_Nmedicine_sentence,data/models/TinyBERT_4L_312D/multiemo_en_Nmedicine_sentence-run-2,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1422.817044,0.6547461368653421,0.851736,0.2926829268292683,0.23529411764705882,0.2608695652173913,153,0.577259475218659,0.8413597733711048,0.6847262247838617,706,0.6793893129770993,0.6872586872586872,0.6833013435700576,518,0.8438030560271647,0.5596846846846847,0.6729857819905213,888,0.5982836927630477,0.5808993157403839,0.575470728890458,2265,0.6858924746947068,0.6547461368653421,0.6511661053212097,2265,58395396,58367536,14591884
multiemo_en_Nmedicine_sentence-run-3,multiemo_en_medicine_sentence,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_Nmedicine_sentence-run-3,multiemo_en_Nmedicine_sentence,data/models/TinyBERT_4L_312D/multiemo_en_Nmedicine_sentence-run-3,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1382.76882,0.6481236203090508,0.920598,0.2631578947368421,0.22875816993464052,0.24475524475524474,153,0.5759682224428997,0.8215297450424929,0.6771745475773496,706,0.6554934823091247,0.6795366795366795,0.6672985781990521,518,0.8520408163265306,0.5641891891891891,0.6788617886178862,888,0.5866651039538493,0.5735034459257505,0.5670225397873832,2265,0.681260305374618,0.6481236203090508,0.6463676445196261,2265,58395396,58367536,14591884
multiemo_en_Nmedicine_sentence-run-4,multiemo_en_medicine_sentence,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_Nmedicine_sentence-run-4,multiemo_en_Nmedicine_sentence,data/models/TinyBERT_4L_312D/multiemo_en_Nmedicine_sentence-run-4,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1376.208559,0.6419426048565121,0.853263,0.25,0.20261437908496732,0.22382671480144403,153,0.5643756050338818,0.8257790368271954,0.6705002875215641,706,0.676923076923077,0.6795366795366795,0.6782273603082852,518,0.8299319727891157,0.5495495495495496,0.6612466124661246,888,0.5803076636865186,0.564369911249598,0.5584502437743545,2265,0.6729911359102909,0.6419426048565121,0.6384668674898258,2265,58395396,58367536,14591884
multiemo_en_Nmedicine_sentence-run-5,multiemo_en_medicine_sentence,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_Nmedicine_sentence-run-5,multiemo_en_Nmedicine_sentence,data/models/TinyBERT_4L_312D/multiemo_en_Nmedicine_sentence-run-5,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1383.603901,0.6596026490066225,0.909144,0.2956521739130435,0.2222222222222222,0.2537313432835821,153,0.5828402366863905,0.8371104815864022,0.6872093023255813,706,0.6776061776061776,0.6776061776061776,0.6776061776061776,518,0.8381877022653722,0.5833333333333334,0.6879150066401063,888,0.598571572617746,0.5800680536870338,0.5766154574638618,2265,0.6852232535633279,0.6596026490066225,0.6560084719031625,2265,58395396,58367536,14591884
