name,model_name,data_dir,teacher_model,student_model,task_name,output_dir,cache_dir,max_seq_length,do_eval,do_lower_case,train_batch_size,eval_batch_size,learning_rate,weight_decay,num_train_epochs,warmup_proportion,no_cuda,gradient_accumulation_steps,aug_train,eval_step,pred_distill,data_url,temperature,training_time,accuracy,eval_time,meta_amb_precision,meta_amb_recall,meta_amb_f1-score,meta_amb_support,meta_minus_m_precision,meta_minus_m_recall,meta_minus_m_f1-score,meta_minus_m_support,meta_plus_m_precision,meta_plus_m_recall,meta_plus_m_f1-score,meta_plus_m_support,meta_zero_precision,meta_zero_recall,meta_zero_f1-score,meta_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_all_text-run-1,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_text,data/models/TMP_TinyBERT_4L_312D/multiemo_en_all_text-run-1,multiemo_en_all_text,data/models/TinyBERT_4L_312D/multiemo_en_all_text-run-1,,256,False,True,8,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,960.049877,0.8585365853658536,1.129799,0.6990291262135923,0.5294117647058824,0.602510460251046,136,0.8617886178861789,0.9380530973451328,0.8983050847457628,339,0.8553191489361702,0.8854625550660793,0.8701298701298702,227,1.0,0.9576271186440678,0.9783549783549783,118,0.8540342232589854,0.8276386339402906,0.8373250983704144,820,0.8528923773621632,0.8585365853658536,0.8529661149857608,820,58395396,58367536,14591884
multiemo_en_all_text-run-2,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_text,data/models/TMP_TinyBERT_4L_312D/multiemo_en_all_text-run-2,multiemo_en_all_text,data/models/TinyBERT_4L_312D/multiemo_en_all_text-run-2,,256,False,True,8,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,958.313345,0.8634146341463415,1.145519,0.6944444444444444,0.5514705882352942,0.6147540983606558,136,0.8688524590163934,0.9380530973451328,0.902127659574468,339,0.8663793103448276,0.8854625550660793,0.8758169934640523,227,1.0,0.9661016949152542,0.9827586206896551,118,0.8574190534514163,0.8352719838904401,0.8438643430222078,820,0.8581140628039973,0.8634146341463415,0.8587851325981867,820,58395396,58367536,14591884
multiemo_en_all_text-run-3,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_text,data/models/TMP_TinyBERT_4L_312D/multiemo_en_all_text-run-3,multiemo_en_all_text,data/models/TinyBERT_4L_312D/multiemo_en_all_text-run-3,,256,False,True,8,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,955.564119,0.8646341463414634,1.119464,0.7169811320754716,0.5588235294117647,0.6280991735537189,136,0.8732782369146006,0.9351032448377581,0.9031339031339032,339,0.8577405857740585,0.9030837004405287,0.8798283261802575,227,0.9910714285714286,0.940677966101695,0.9652173913043479,118,0.85976784583389,0.8344221101979367,0.8440696985430569,820,0.8600052412420166,0.8646341463414634,0.8600006865640616,820,58395396,58367536,14591884
multiemo_en_all_text-run-4,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_text,data/models/TMP_TinyBERT_4L_312D/multiemo_en_all_text-run-4,multiemo_en_all_text,data/models/TinyBERT_4L_312D/multiemo_en_all_text-run-4,,256,False,True,8,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,996.600547,0.8597560975609756,1.132373,0.6875,0.5661764705882353,0.6209677419354839,136,0.8725761772853186,0.9292035398230089,0.9,339,0.8589743589743589,0.8854625550660793,0.8720173535791756,227,0.9911504424778761,0.9491525423728814,0.9696969696969698,118,0.8525502446843884,0.8324987769625513,0.8406705163029073,820,0.8551783607308436,0.8597560975609756,0.8560046275487087,820,58395396,58367536,14591884
multiemo_en_all_text-run-5,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_text,data/models/TMP_TinyBERT_4L_312D/multiemo_en_all_text-run-5,multiemo_en_all_text,data/models/TinyBERT_4L_312D/multiemo_en_all_text-run-5,,256,False,True,8,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,965.0632559999999,0.8634146341463415,1.094073,0.6893203883495146,0.5220588235294118,0.5941422594142259,136,0.8688524590163934,0.9380530973451328,0.902127659574468,339,0.8686440677966102,0.9030837004405287,0.8855291576673866,227,0.991304347826087,0.9661016949152542,0.9785407725321889,118,0.8545303157471513,0.8323243290575819,0.8400849622970674,820,0.8566398449456099,0.8634146341463415,0.8574482363724079,820,58395396,58367536,14591884
multiemo_en_all_text-run-1,TinyBERT_6L_768D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_text,data/models/TMP_TinyBERT_6L_768D/multiemo_en_all_text-run-1,multiemo_en_all_text,data/models/TinyBERT_6L_768D/multiemo_en_all_text-run-1,,256,False,True,8,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1717.017484,0.8731707317073171,3.86301,0.6982758620689655,0.5955882352941176,0.6428571428571429,136,0.8876404494382022,0.9321533923303835,0.9093525179856116,339,0.8793103448275862,0.8986784140969163,0.8888888888888888,227,0.9913793103448276,0.9745762711864406,0.982905982905983,118,0.8641514916698954,0.8502490782269645,0.8560011331594066,820,0.8688558981676605,0.8731707317073171,0.8700728765687531,820,270236395,270194704,67548676
multiemo_en_all_text-run-2,TinyBERT_6L_768D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_text,data/models/TMP_TinyBERT_6L_768D/multiemo_en_all_text-run-2,multiemo_en_all_text,data/models/TinyBERT_6L_768D/multiemo_en_all_text-run-2,,256,False,True,8,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1727.431016,0.8658536585365854,4.862923,0.6902654867256637,0.5735294117647058,0.6265060240963854,136,0.8802228412256268,0.9321533923303835,0.9054441260744985,339,0.871244635193133,0.8942731277533039,0.8826086956521739,227,0.9826086956521739,0.9576271186440678,0.9699570815450643,118,0.8560854146991493,0.8393957626231153,0.8461289818420306,820,0.8609658629828969,0.8658536585365854,0.8621432775021031,820,270236395,270194704,67548676
multiemo_en_all_text-run-3,TinyBERT_6L_768D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_text,data/models/TMP_TinyBERT_6L_768D/multiemo_en_all_text-run-3,multiemo_en_all_text,data/models/TinyBERT_6L_768D/multiemo_en_all_text-run-3,,256,False,True,8,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1716.099616,0.8658536585365854,3.875524,0.6747967479674797,0.6102941176470589,0.640926640926641,136,0.8920454545454546,0.9262536873156342,0.9088277858176556,339,0.8701298701298701,0.8854625550660793,0.8777292576419213,227,0.9824561403508771,0.9491525423728814,0.9655172413793103,118,0.8548570532484204,0.8427907256004135,0.848250231441382,820,0.8629574047504516,0.8658536585365854,0.8639441689337599,820,270236395,270194704,67548676
multiemo_en_all_text-run-4,TinyBERT_6L_768D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_text,data/models/TMP_TinyBERT_6L_768D/multiemo_en_all_text-run-4,multiemo_en_all_text,data/models/TinyBERT_6L_768D/multiemo_en_all_text-run-4,,256,False,True,8,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1709.481167,0.8560975609756097,3.861319,0.6324786324786325,0.5441176470588235,0.5849802371541502,136,0.8743016759776536,0.9233038348082596,0.8981348637015782,339,0.8706896551724138,0.8898678414096917,0.8801742919389978,227,1.0,0.9576271186440678,0.9783549783549783,118,0.844367490907175,0.8287291104802107,0.8354110927874261,820,0.8512828218264104,0.8560975609756097,0.8527688814193164,820,270236395,270194704,67548676
multiemo_en_all_text-run-5,TinyBERT_6L_768D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_text,data/models/TMP_TinyBERT_6L_768D/multiemo_en_all_text-run-5,multiemo_en_all_text,data/models/TinyBERT_6L_768D/multiemo_en_all_text-run-5,,256,False,True,8,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1748.5055419999999,0.8512195121951219,3.820699,0.616,0.5661764705882353,0.5900383141762452,136,0.88,0.9085545722713865,0.8940493468795356,339,0.8695652173913043,0.8810572687224669,0.87527352297593,227,0.9826086956521739,0.9576271186440678,0.9699570815450643,118,0.8370434782608696,0.8283538575565391,0.8323295663941939,820,0.8480916224814422,0.8512195121951219,0.8493536154365678,820,270236395,270194704,67548676
